fecha_hora,sensor_id,temperatura_c,humedad_pct
2026-03-01 00:00:00,S01,17.37,57.3
2026-03-01 01:00:00,S01,19.75,60.0
2026-03-01 02:00:00,S01,19.48,55.7
2026-03-01 03:00:00,S01,23.36,49.8
2026-03-01 04:00:00,S01,23.71,57.4
2026-03-01 05:00:00,S01,23.56,51.9
2026-03-01 06:00:00,S01,23.75,51.2
2026-03-01 07:00:00,S01,24.04,50.3
2026-03-01 08:00:00,S01,22.98,53.8
2026-03-01 09:00:00,S01,22.06,51.8
2026-03-01 10:00:00,S01,21.58,54.8
2026-03-01 11:00:00,S01,19.96,60.3
2026-03-01 12:00:00,S01,17.95,59.1
2026-03-01 13:00:00,S01,16.38,55.3
2026-03-01 14:00:00,S01,15.13,62.3
2026-03-01 15:00:00,S01,13.27,69.4
2026-03-01 16:00:00,S01,12.48,71.6
2026-03-01 17:00:00,S01,12.64,69.1
2026-03-01 18:00:00,S01,11.9,73.4
2026-03-01 19:00:00,S01,11.1,67.2
2026-03-01 20:00:00,S01,12.42,72.2
2026-03-01 21:00:00,S01,14.28,66.2
2026-03-01 22:00:00,S01,14.81,66.8
2026-03-01 23:00:00,S01,16.33,53.9
2026-03-02 00:00:00,S01,18.51,61.9
2026-03-02 01:00:00,S01,21.01,56.2
2026-03-02 02:00:00,S01,20.43,62.1
2026-03-02 03:00:00,S01,23.32,52.6
2026-03-02 04:00:00,S01,22.21,50.8
2026-03-02 05:00:00,S01,23.94,48.7
2026-03-02 06:00:00,S01,23.06,53.6
2026-03-02 07:00:00,S01,24.88,50.6
2026-03-02 08:00:00,S01,23.86,49.3
2026-03-02 09:00:00,S01,23.15,49.1
2026-03-02 10:00:00,S01,20.29,61.1
2026-03-02 11:00:00,S01,20.1,56.1
2026-03-02 12:00:00,S01,17.58,60.4
2026-03-02 13:00:00,S01,16.08,61.3
2026-03-02 14:00:00,S01,15.41,68.1
2026-03-02 15:00:00,S01,14.46,68.7
2026-03-02 16:00:00,S01,12.97,64.5
2026-03-02 17:00:00,S01,11.7,69.2
2026-03-02 18:00:00,S01,11.34,67.2
2026-03-02 19:00:00,S01,13.36,72.5
2026-03-02 20:00:00,S01,13.28,68.4
2026-03-02 21:00:00,S01,14.33,64.7
2026-03-02 22:00:00,S01,16.75,60.9
2026-03-02 23:00:00,S01,15.79,64.9
2026-03-03 00:00:00,S01,20.05,56.2
2026-03-03 01:00:00,S01,22.07,58.5
2026-03-03 02:00:00,S01,22.29,50.8
2026-03-03 03:00:00,S01,22.9,48.9
2026-03-03 04:00:00,S01,22.67,57.2
2026-03-03 05:00:00,S01,24.59,48.8
2026-03-03 06:00:00,S01,23.65,55.8
2026-03-03 07:00:00,S01,23.78,54.0
2026-03-03 08:00:00,S01,22.96,48.5
2026-03-03 09:00:00,S01,22.47,51.5
2026-03-03 10:00:00,S01,22.03,54.1
2026-03-03 11:00:00,S01,19.11,57.7
2026-03-03 12:00:00,S01,17.21,62.1
2026-03-03 13:00:00,S01,15.64,61.7
2026-03-03 14:00:00,S01,14.23,65.4
2026-03-03 15:00:00,S01,12.61,71.1
2026-03-03 16:00:00,S01,12.07,72.9
2026-03-03 17:00:00,S01,13.24,64.8
2026-03-03 18:00:00,S01,11.53,69.0
2026-03-03 19:00:00,S01,12.41,68.0
2026-03-03 20:00:00,S01,11.83,65.2
2026-03-03 21:00:00,S01,13.89,69.0
