dia,mean,min,max
2026-03-01,17.92875,11.1,24.04
2026-03-02,18.242083333333333,11.34,24.88
2026-03-03,18.030416666666667,11.53,24.59
2026-03-04,18.022916666666667,10.64,25.03
2026-03-05,17.974166666666665,11.72,24.76
2026-03-06,18.035416666666666,10.24,25.09
2026-03-07,18.177083333333332,11.45,23.95
2026-03-08,18.11583333333333,9.81,24.84
2026-03-09,18.056250000000002,11.62,24.09
2026-03-10,17.984583333333333,11.23,23.55
2026-03-11,18.019583333333333,11.05,24.36
2026-03-12,18.089583333333334,11.08,25.01
2026-03-13,18.142083333333332,10.79,24.72
2026-03-14,17.78291666666667,11.59,24.7
2026-03-15,18.00375,11.92,24.36
2026-03-16,18.018333333333334,12.34,24.2
2026-03-17,18.0625,11.32,25.06
2026-03-18,18.264166666666664,11.27,25.05
2026-03-19,17.80666666666667,11.59,24.73
2026-03-20,17.927083333333332,11.66,24.74
2026-03-21,17.861666666666668,11.27,24.98
2026-03-22,18.232916666666668,11.9,26.38
2026-03-23,17.955416666666668,11.71,24.36
2026-03-24,18.12375,12.06,25.57
2026-03-25,17.936666666666667,11.23,23.84
2026-03-26,18.150833333333335,10.87,25.44
2026-03-27,17.951666666666664,11.25,24.6
2026-03-28,17.722916666666666,10.65,24.52
2026-03-29,18.077083333333334,10.41,25.43
2026-03-30,18.125833333333333,11.32,24.21
